api,library,usage
com.actionbarsherlock.internal.view.menu.MenuWrapper,Action Bar Sherlock,26.97
com.actionbarsherlock.internal.view.menu.MenuBuilder,Action Bar Sherlock,26.75
com.actionbarsherlock.internal.nineoldandroids.animation.ObjectAnimator,Action Bar Sherlock,26.35
com.actionbarsherlock.internal.view.menu.ActionMenuPresenter,Action Bar Sherlock,26.24
com.actionbarsherlock.internal.view.menu.MenuItemImpl,Action Bar Sherlock,26.24
com.actionbarsherlock.internal.view.View_HasStateListenerSupport,Action Bar Sherlock,26.20
com.actionbarsherlock.internal.view.menu.ActionMenuView,Action Bar Sherlock,26.20
com.actionbarsherlock.internal.view.View_OnAttachStateChangeListener,Action Bar Sherlock,26.16
com.actionbarsherlock.internal.view.menu.SubMenuBuilder,Action Bar Sherlock,26.09
com.actionbarsherlock.internal.nineoldandroids.view.animation.AnimatorProxy,Action Bar Sherlock,26.05
com.actionbarsherlock.internal.nineoldandroids.animation.Animator,Action Bar Sherlock,25.98
com.actionbarsherlock.internal.nineoldandroids.animation.AnimatorSet,Action Bar Sherlock,25.91
com.actionbarsherlock.internal.widget.ActionBarContextView,Action Bar Sherlock,25.87
com.actionbarsherlock.internal.view.menu.MenuItemWrapper,Action Bar Sherlock,25.76
com.actionbarsherlock.internal.view.menu.MenuPopupHelper,Action Bar Sherlock,25.76
com.actionbarsherlock.internal.ResourcesCompat.getResources_getBoolean,Action Bar Sherlock,25.72
com.actionbarsherlock.internal.nineoldandroids.animation.Keyframe.IntKeyframe,Action Bar Sherlock,25.72
com.actionbarsherlock.internal.widget.ActionBarView,Action Bar Sherlock,25.72
com.actionbarsherlock.internal.widget.IcsLinearLayout,Action Bar Sherlock,25.72
com.actionbarsherlock.internal.nineoldandroids.animation.Keyframe.FloatKeyframe,Action Bar Sherlock,25.69
com.actionbarsherlock.internal.nineoldandroids.widget.NineFrameLayout,Action Bar Sherlock,25.65
com.actionbarsherlock.internal.widget.ActionBarContainer,Action Bar Sherlock,25.61
com.actionbarsherlock.internal.nineoldandroids.animation.Animator.AnimatorListener,Action Bar Sherlock,25.58
com.actionbarsherlock.internal.nineoldandroids.widget.NineLinearLayout,Action Bar Sherlock,25.50
com.actionbarsherlock.internal.widget.IcsListPopupWindow,Action Bar Sherlock,25.43
com.actionbarsherlock.internal.app.ActionBarWrapper,Action Bar Sherlock,25.32
com.actionbarsherlock.internal.view.menu.SubMenuWrapper,Action Bar Sherlock,25.21
com.actionbarsherlock.internal.view.menu.MenuPresenter,Action Bar Sherlock,25.06
com.actionbarsherlock.internal.nineoldandroids.animation.Keyframe.ObjectKeyframe,Action Bar Sherlock,24.73
com.actionbarsherlock.internal.view.ActionProviderWrapper,Action Bar Sherlock,24.37
com.actionbarsherlock.internal.widget.CapitalizingButton,Action Bar Sherlock,24.37
com.actionbarsherlock.internal.ActionBarSherlockCompat,Action Bar Sherlock,24.33
com.actionbarsherlock.internal.nineoldandroids.view.NineViewGroup,Action Bar Sherlock,24.07
com.actionbarsherlock.internal.view.menu.ActionMenuView.ActionMenuChildView,Action Bar Sherlock,23.82
com.actionbarsherlock.internal.nineoldandroids.widget.NineHorizontalScrollView,Action Bar Sherlock,23.74
com.actionbarsherlock.internal.nineoldandroids.animation.AnimatorListenerAdapter,Action Bar Sherlock,23.71
com.actionbarsherlock.internal.widget.ScrollingTabContainerView,Action Bar Sherlock,23.71
com.actionbarsherlock.internal.ResourcesCompat.getResources_getInteger,Action Bar Sherlock,23.67
com.actionbarsherlock.internal.ActionBarSherlockNative,Action Bar Sherlock,23.56
com.actionbarsherlock.internal.app.ActionBarImpl,Action Bar Sherlock,23.49
com.actionbarsherlock.internal.view.StandaloneActionMode,Action Bar Sherlock,22.87
com.actionbarsherlock.internal.widget.IcsProgressBar,Action Bar Sherlock,22.87
com.actionbarsherlock.internal.view.menu.ActionMenuItem,Action Bar Sherlock,22.28
com.actionbarsherlock.internal.view.menu.MenuView,Action Bar Sherlock,21.95
com.actionbarsherlock.internal.ActionBarSherlockCompat.cleanActivityName,Action Bar Sherlock,21.00
com.actionbarsherlock.internal.widget.CollapsibleActionViewWrapper,Action Bar Sherlock,18.40
com.actionbarsherlock.internal.widget.IcsToast,Action Bar Sherlock,10.00
com.actionbarsherlock.internal.ResourcesCompat,Action Bar Sherlock,8.76
com.actionbarsherlock.internal.view.menu.MenuItemMule,Action Bar Sherlock,1.14
com.actionbarsherlock.internal.view.menu.MenuMule,Action Bar Sherlock,1.14
com.android.internal.telephony.Phone,Android,1.02
com.android.internal.telephony.TelephonyIntents,Android,0.86
com.android.internal.telephony.ITelephony,Android,0.81
com.android.internal.telephony.TelephonyProperties,Android,0.79
com.android.internal.util.XmlUtils,Android,0.67
com.android.internal.app.AlertController,Android,0.66
com.android.internal.telephony.RILConstants,Android,0.62
com.android.internal.telephony.CallerInfo,Android,0.61
com.android.internal.R,Android,0.60
com.android.internal.telephony.PhoneFactory,Android,0.56
com.android.internal.app.AlertActivity,Android,0.55
com.android.internal.telephony.IccCard,Android,0.45
com.android.internal.util.ArrayUtils,Android,0.45
com.android.internal.widget.LockPatternUtils,Android,0.43
com.android.internal.app.IBatteryStats,Android,0.43
com.android.internal.telephony.Connection,Android,0.42
com.android.internal.telephony.GsmAlphabet,Android,0.41
com.android.internal.util.Objects,Android,0.41
com.android.internal.telephony.Call,Android,0.39
com.android.internal.telephony.CommandException,Android,0.39
com.android.internal.telephony.PhoneConstants,Android,0.38
com.android.internal.os.PkgUsageStats,Android,0.38
com.android.internal.widget.LockPatternView,Android,0.38
com.android.internal.os.BatteryStatsImpl,Android,0.38
com.android.internal.telephony.CommandsInterface,Android,0.37
com.android.internal.content.PackageMonitor,Android,0.37
com.android.internal.app.IUsageStats,Android,0.37
com.android.internal.util.MemInfoReader,Android,0.37
com.android.internal.content.PackageHelper,Android,0.37
com.android.internal.telephony.DataConnection,Android,0.36
com.android.internal.telephony.PhoneBase,Android,0.36
com.android.internal.widget.PasswordEntryKeyboardHelper,Android,0.36
com.android.internal.widget.PasswordEntryKeyboardView,Android,0.36
com.android.internal.telephony.MmiCode,Android,0.36
com.android.internal.os.storage.ExternalStorageFormatter,Android,0.35
com.android.internal.telephony.CallForwardInfo,Android,0.35
com.android.internal.util.CharSequences,Android,0.35
com.android.internal.telephony.test.SimulatedRadioControl,Android,0.35
com.android.internal.telephony.CallStateException,Android,0.34
com.android.internal.os.PowerProfile,Android,0.34
com.android.internal.widget.LinearLayoutWithDefaultTouchRecepient,Android,0.34
com.android.internal.telephony.cdma.CDMAPhone,Android,0.33
com.android.internal.widget.LockPatternView.Cell,Android,0.33
com.android.internal.app.IMediaContainerService,Android,0.33
com.android.internal.telephony.cdma.CdmaCallWaitingNotification,Android,0.33
com.android.internal.telephony.cdma.TtyIntent,Android,0.32
com.android.internal.view.menu.MenuBuilder,Android,0.32
com.android.internal.os.AtomicFile,Android,0.32
com.android.internal.telephony.CallerInfoAsyncQuery,Android,0.31
com.android.internal.telephony.sip.SipPhone,Android,0.31
org.apache.maven.repository.internal.MavenRepositorySystemSession,Apache Maven,4.17
org.apache.maven.repository.internal.DefaultServiceLocator,Apache Maven,1.35
org.apache.maven.repository.internal.DefaultArtifactDescriptorReader,Apache Maven,1.26
org.apache.maven.repository.internal.MavenRepositorySystemUtils,Apache Maven,1.13
org.apache.maven.repository.internal.DefaultVersionResolver,Apache Maven,1.04
org.apache.maven.repository.internal.DefaultVersionRangeResolver,Apache Maven,0.91
org.apache.maven.properties.internal.EnvironmentUtils,Apache Maven,0.87
org.apache.maven.lifecycle.internal.MojoDescriptorCreator,Apache Maven,0.74
org.apache.maven.lifecycle.internal.MojoExecutor,Apache Maven,0.65
org.apache.maven.lifecycle.internal.LifecycleExecutionPlanCalculator,Apache Maven,0.61
org.apache.maven.lifecycle.internal.TaskSegment,Apache Maven,0.61
org.apache.maven.lifecycle.internal.LifecycleTaskSegmentCalculator,Apache Maven,0.56
org.apache.maven.lifecycle.internal.ProjectIndex,Apache Maven,0.56
