api,library,usage
sun.misc.BASE64Encoder,JDK,0.63
sun.misc.BASE64Decoder,JDK,0.34
sun.misc.Unsafe,JDK,0.27
sun.reflect.generics.reflectiveObjects.NotImplementedException,JDK,0.18
sun.security.x509.X500Name,JDK,0.10
sun.security.x509.AlgorithmId,JDK,0.09
sun.security.pkcs.PKCS7,JDK,0.07
sun.security.pkcs.ContentInfo,JDK,0.07
sun.security.pkcs.SignerInfo,JDK,0.07
sun.misc.Signal,JDK,0.07
sun.misc.SignalHandler,JDK,0.06
sun.reflect.ReflectionFactory,JDK,0.06
sun.applet.AppletSecurity,JDK,0.05
sun.net.util.IPAddressUtil,JDK,0.05
sun.reflect.Reflection,JDK,0.04
sun.audio.AudioPlayer,JDK,0.04
sun.security.action.GetPropertyAction,JDK,0.04
sun.misc.IOUtils,JDK,0.04
sun.security.x509.X509CertImpl,JDK,0.04
sun.audio.AudioStream,JDK,0.03
sun.misc.Cleaner,JDK,0.03
sun.security.krb5.Config,JDK,0.03
sun.security.util.SecurityConstants,JDK,0.03
sun.net.dns.ResolverConfiguration,JDK,0.03
sun.rmi.runtime.Log,JDK,0.03
sun.security.krb5.KrbException,JDK,0.03
sun.reflect.FieldAccessor,JDK,0.03
sun.security.krb5.PrincipalName,JDK,0.03
sun.misc.Service,JDK,0.03
sun.security.x509.X509CertInfo,JDK,0.03
sun.awt.CausedFocusEvent,JDK,0.03
sun.nio.ch.DirectBuffer,JDK,0.03
sun.util.logging.resources.logging,JDK,0.03
sun.awt.AppContext,JDK,0.03
sun.net.www.http.HttpClient,JDK,0.03
sun.misc.FpUtils,JDK,0.02
sun.security.krb5.Credentials,JDK,0.02
sun.swing.SwingUtilities2,JDK,0.02
sun.awt.shell.ShellFolder,JDK,0.02
sun.security.jgss.krb5.Krb5Util,JDK,0.02
sun.security.x509.CertificateIssuerName,JDK,0.02
sun.awt.windows.ThemeReader,JDK,0.02
sun.misc.URLClassPath,JDK,0.02
sun.security.action.GetLongAction,JDK,0.02
sun.tools.jar.Main,JDK,0.02
sun.security.util.DerValue,JDK,0.02
sun.misc.Resource,JDK,0.02
sun.net.www.ParseUtil,JDK,0.02
sun.security.jca.GetInstance,JDK,0.02
sun.security.action.GetBooleanAction,JDK,0.02
org.jboss.netty.util.internal.ConcurrentHashMap,Jboss,1.29
org.jboss.netty.util.internal.ExecutorUtil,Jboss,0.80
org.jboss.netty.util.internal.StringUtil,Jboss,0.40
org.jboss.netty.util.internal.LinkedTransferQueue,Jboss,0.32
org.jboss.netty.util.internal.ConversionUtil,Jboss,0.30
org.jboss.netty.util.internal.StackTraceSimplifier,Jboss,0.30
org.jboss.netty.util.internal.ConcurrentIdentityHashMap,Jboss,0.27
org.jboss.netty.util.internal.ConcurrentIdentityWeakKeyHashMap,Jboss,0.27
org.jboss.netty.util.internal.ReusableIterator,Jboss,0.27
org.jboss.netty.util.internal.SystemPropertyUtil,Jboss,0.27
org.jboss.netty.util.internal.jzlib.JZlib,Jboss,0.27
org.jboss.netty.util.internal.jzlib.ZStream,Jboss,0.27
org.jboss.netty.util.internal.DeadLockProofWorker,Jboss,0.25
org.jboss.netty.util.internal.jzlib.JZlib.WrapperType,Jboss,0.25
org.jboss.netty.util.internal.ThreadLocalBoolean,Jboss,0.23
org.jboss.netty.util.internal.NonReentrantLock,Jboss,0.21
org.jboss.netty.util.internal.SharedResourceMisuseDetector,Jboss,0.21
org.jboss.netty.util.internal.CaseIgnoringComparator,Jboss,0.19
org.jboss.netty.util.internal.DetectionUtil,Jboss,0.15
org.jboss.netty.util.internal.QueueFactory,Jboss,0.15
org.jboss.netty.util.internal.IoWorkerRunnable,Jboss,0.13
org.jboss.tools.common.validation.internal.ProjectValidationContext,Jboss,0.11
org.jboss.tools.common.validation.internal.SimpleValidatingProjectTree,Jboss,0.11
org.jboss.ide.eclipse.as.core.server.internal.JBossServer,Jboss,0.08
org.jboss.netty.util.internal.ByteBufferUtil,Jboss,0.08
org.jboss.solder.logging.internal.LogMessage,Jboss,0.08
org.jboss.tools.common.validation.internal.ValidatingProjectSet,Jboss,0.08
org.jboss.aesh.cl.internal.ProcessedCommand,Jboss,0.06
org.jboss.ide.eclipse.as.core.server.internal.DeployableServer,Jboss,0.06
org.jboss.solder.logging.internal.BasicLogger,Jboss,0.06
org.jboss.solder.logging.internal.DelegatingBasicLogger,Jboss,0.06
org.jboss.solder.logging.internal.Logger,Jboss,0.06
org.jboss.aesh.cl.internal.ParameterInt,Jboss,0.04
org.jboss.aesh.cl.internal.ProcessedOption,Jboss,0.04
org.jboss.ajocado.framework.internal.PageExtensions,Jboss,0.04
org.jboss.ajocado.framework.internal.SeleniumExtensions,Jboss,0.04
org.jboss.ajocado.framework.internal.UnsupportedTypedSelenium,Jboss,0.04
org.jboss.arquillian.ajocado.framework.internal.PageExtensionsImpl,Jboss,0.04
org.jboss.arquillian.ajocado.framework.internal.SeleniumExtensionsImpl,Jboss,0.04
org.jboss.arquillian.ajocado.framework.internal.UnsupportedTypedSelenium,Jboss,0.04
org.jboss.errai.enterprise.client.cdi.internal.ObserverModel,Jboss,0.04
org.jboss.esb.cinco.internal.BaseContext,Jboss,0.04
org.jboss.esb.cinco.internal.DefaultChannelFactory,Jboss,0.04
org.jboss.esb.cinco.internal.DefaultMessageFactory,Jboss,0.04
org.jboss.esb.cinco.internal.DefaultServiceRegistry,Jboss,0.04
org.jboss.esb.cinco.internal.ServiceDomains,Jboss,0.04
org.jboss.esb.cinco.internal.ServiceRegistration,Jboss,0.04
org.jboss.ide.eclipse.as.core.server.internal.DeployableServerBehavior,Jboss,0.04
org.jboss.ide.eclipse.as.core.server.internal.JBossServerBehavior,Jboss,0.04
org.jboss.ide.eclipse.as.core.server.internal.v7.JBoss7Server,Jboss,0.04
